maku,fra12,suo12,tkg,keskip12,totala
1,1,1,1,45,153.51512936
1,1,1,2,31,105.75486689
1,1,1,3,15,51.171709786
1,1,1,4,6,20.468683915
1,1,1,5,19,64.817499063
1,1,1,6,19,64.817499063
1,2,1,1,1,3.4114473191
2,1,1,1,48,160.31864704
2,1,1,2,89,297.25749139
2,1,1,3,21,70.13940808
2,1,1,4,18,60.11949264
2,1,1,5,13,43.419633573
2,1,1,6,37,123.57895709
2,1,1,7,3,10.01991544
2,3,1,7,1,3.3399718133
4,1,1,1,83,283.93951444
4,1,1,2,79,270.25568241
4,1,1,3,61,208.67843832
4,1,1,4,48,164.20598425
4,1,1,5,54,184.73173228
4,1,1,6,79,270.25568241
4,1,1,7,2,6.8419160105
4,2,1,6,3,10.262874016
4,3,1,1,0,0
4,3,1,6,4,13.683832021
5,1,1,1,41,141.43911745
5,1,1,2,47,162.13752488
5,1,1,3,30,103.49203716
5,1,1,4,19,65.544956868
5,1,1,5,10,34.49734572
5,1,1,6,19,65.544956868
5,2,1,3,1,3.449734572
6,1,1,1,78,267.37643791
6,1,1,2,103,353.07401416
6,1,1,3,51,174.82305556
6,1,1,4,59,202.24627996
6,1,1,5,84,287.94385621
6,1,1,6,86,294.79966231
6,1,1,7,4,13.7116122
6,2,1,5,1,3.4279030501
6,2,1,7,1,3.4279030501
7,1,1,1,31,104.77284301
7,1,1,2,26,87.873997361
7,1,1,3,13,43.936998681
7,1,1,4,12,40.557229551
7,1,1,5,6,20.278614776
7,1,1,6,10,33.797691293
7,3,1,2,1,3.3797691293
8,1,1,1,20,68.336031851
8,1,1,2,31,105.92084937
8,1,1,3,20,68.336031851
8,1,1,4,29,99.087246184
8,1,1,5,11,37.584817518
8,1,1,6,17,58.085627074
8,3,1,4,1,3.4168015926
8,3,1,6,1,3.4168015926
8,3,1,7,1,3.4168015926
9,1,1,1,33,113.69759379
9,1,1,2,44,151.59679172
9,1,1,3,21,72.35301423
9,1,1,4,28,96.47068564
9,1,1,5,16,55.12610608
9,1,1,6,36,124.03373868
9,2,1,2,1,3.44538163
9,2,1,3,1,3.44538163
9,3,1,1,1,3.44538163
10,1,1,1,111,370.85836185
10,1,1,2,147,491.13674947
10,1,1,3,90,300.69596906
10,1,1,4,110,367.51729552
10,1,1,5,40,133.64265292
10,1,1,6,55,183.75864776
10,1,1,7,1,3.3410663229
10,2,1,3,1,3.3410663229
10,2,1,7,1,3.3410663229
10,3,1,3,1,3.3410663229
10,3,1,5,1,3.3410663229
11,1,1,1,130,505.22699884
11,1,1,2,165,641.24965238
11,1,1,3,81,314.79528389
11,1,1,4,128,497.45427578
11,1,1,5,67,260.38622248
11,1,1,6,117,454.70429896
11,1,1,7,5,19.431807648
11,2,1,6,6,23.318169177
11,2,1,7,1,3.8863615295
11,3,1,6,2,7.7727230591
11,3,1,7,1,3.8863615295
12,1,1,1,120,460.92560554
12,1,1,2,180,691.3884083
12,1,1,3,131,503.17711938
12,1,1,4,231,887.28179066
12,1,1,5,66,253.50908304
12,1,1,6,241,925.69225779
12,1,1,7,7,26.88732699
12,2,1,2,0,0
12,2,1,5,1,3.8410467128
12,2,1,6,8,30.728373702
12,2,1,7,1,3.8410467128
12,3,1,1,1,3.8410467128
12,3,1,3,3,11.523140138
12,3,1,6,4,15.364186851
13,1,1,1,85,329.10762633
13,1,1,2,117,453.00696801
13,1,1,3,118,456.87882244
13,1,1,4,112,433.64769587
13,1,1,5,144,557.54703755
13,1,1,6,125,483.98180343
13,1,1,7,5,19.359272137
13,2,1,7,1,3.8718544274
13,3,1,3,1,3.8718544274
13,3,1,7,3,11.615563282
14,1,1,1,58,220.70781206
14,1,1,2,85,323.45110388
14,1,1,3,88,334.86702519
14,1,1,4,168,639.29159355
14,1,1,5,200,761.06142089
14,1,1,6,240,913.27370507
14,1,1,7,14,53.274299462
14,2,1,6,2,7.6106142089
14,2,1,7,6,22.831842627
14,3,1,6,6,22.831842627
14,3,1,7,3,11.415921313
15,1,1,1,32,124.0187906
15,1,1,2,48,186.02818591
15,1,1,3,55,213.15729635
15,1,1,4,44,170.52583708
15,1,1,5,41,158.89907546
15,1,1,6,85,329.42491254
15,1,1,7,2,7.7511744128
15,2,1,6,1,3.8755872064
15,2,1,7,3,11.626761619
15,3,1,7,1,3.8755872064
16,1,1,1,14,54.858469945
16,1,1,2,16,62.695394223
16,1,1,3,52,203.76003123
16,1,1,4,31,121.47232631
16,1,1,5,81,317.39543326
16,1,1,6,148,579.93239657
16,1,1,7,4,15.673848556
16,2,1,6,9,35.266159251
16,2,1,7,1,3.918462139
16,3,1,6,5,19.592310695
16,3,1,7,4,15.673848556
17,1,1,1,166,778.99464123
17,1,1,2,191,886.62736831
17,1,1,3,358,1663.8384823
17,1,1,4,523,2463.6442642
17,1,1,5,393,1798.0337019
17,1,1,6,493,2282.4761816
17,1,1,7,36,164.12438144
17,2,1,1,2,9.1180211913
17,2,1,3,4,18.236042383
17,2,1,4,6,30.525332481
17,2,1,5,10,48.761374864
17,2,1,6,29,132.21130727
17,2,1,7,6,27.354063574
17,3,1,1,1,4.5590105956
17,3,1,3,4,18.236042383
17,3,1,4,1,4.5590105956
17,3,1,5,10,48.761374864
17,3,1,6,23,104.8572437
17,3,1,7,4,18.236042383
18,1,1,1,73,329.83849664
18,1,1,2,135,609.97530201
18,1,1,3,112,506.05358389
18,1,1,4,358,1617.5641342
18,1,1,5,121,546.71860403
18,1,1,6,291,1314.835651
18,1,1,7,2,9.0366711409
18,2,1,1,1,4.5183355705
18,2,1,3,2,9.0366711409
18,2,1,4,2,9.0366711409
18,2,1,5,2,9.0366711409
18,2,1,6,17,76.811704698
18,2,1,7,2,9.0366711409
18,3,1,1,2,9.0366711409
18,3,1,2,1,4.5183355705
18,3,1,4,1,4.5183355705
18,3,1,5,4,18.073342282
18,3,1,6,7,31.628348993
18,3,1,7,1,4.5183355705
19,1,1,1,79,625.40413006
19,1,1,2,67,530.40603436
19,1,1,3,86,680.81968589
19,1,1,4,261,2066.2085816
19,1,1,5,155,1227.0587362
19,1,1,6,268,2121.6241374
19,1,1,7,2,15.833015951
19,2,1,1,1,7.9165079755
19,2,1,3,6,47.499047853
19,2,1,4,2,15.833015951
19,2,1,5,12,94.998095706
19,2,1,6,19,150.41365153
19,2,1,7,1,7.9165079755
19,3,1,3,5,39.582539877
19,3,1,5,8,63.332063804
19,3,1,6,13,102.91460368
19,3,1,7,5,39.582539877
21,1,1,1,3,6.9248736999
21,1,1,2,1,2.3082912333
21,1,1,3,0,0
21,1,1,4,1,2.3082912333
21,1,1,5,1,2.3082912333
21,1,1,6,2,4.6165824666
